Nie bój się!	Niy bōj sie!
— Oto sprawiedliwość ludzka! — zawołał dawny Scrooge. — Przeklinają ubóstwo, a jednocześnie potępiają tych, którzy w pocie czoła starają się o dostatek.	– To je niyprzileżytość – prawiōł Scrooge – i to niyma sprawiedliwe.
Kołeczki przy niej świeciły jak robaczki świętojańskie, a wzdłuż zwieszał się smyczek na kształt srebrnego pręta…	Kołeczki przi nij świyciyły jak jōniczki, a podle tego wisioł smyczek we formie strzybrnego prynta…
Scrooge szukał oczyma Ducha, lecz nie mógł go dojrzeć.	Scrooge rozejzdrzoł sie za duchym, ale niy znŏd go.
Był to chłopak nierozgarnięty bardzo i jak wiejskie dzieciaki przy rozmowie z ludźmi palec do gęby wkładający.	Karlus to bōł barzo mało talyntny i jak wiejske dziycioki przi godce z ludźmi palec do gymby wrażoł.
— Aha, przybyłeś po swą ukochaną, ale ptaszek nie śpiewa już, nie ma go w gniazdku, porwał go kot, który i tobie oczy wydrapie.	— Aha! — krzikła ze drwinōm. — Chcioł byś weznōńć swojã umiyłowanõ, ale tyn piykny ptŏk już niy siedzi we gniŏździe, kot go wziōn i wydrŏpie ci ôczy.
Dwunasta?	Dwanŏście.
— Czas mój uchodzi — zauważył Duch. — Śpieszmy się!	– Czas mi sie kōńczy – powiedzioł duch. – Wartko!
— I pomyślności z Nowym Rokiem!	– I szczyńśliwego Nowego Roku!
— Kimże więc byłeś? — zapytał Scrooge, podnosząc głos. — Jak na ducha, jesteś bardzo drobiazgowy.	– Tōż ftoś ty bōł? – pedzioł Scrooge głośnij. – Akuratny żeś je jak na mŏrã.
— Któż ty jesteś? — badał Scrooge.	– Je żeś? – powtōrzōł Scrooge. – Ja.
A głośno dodał:	I zaś zapłakoł.
Ach!	Ach!
— Duchu — odezwał się Scrooge — pokaż mi śmierć ściśle związaną z miłością; inaczej ów pokój straszny, któryśmy niedawno opuścili, wciąż będzie gnębił myśl moją.	– Pokŏż mi jaki smutek skuli tyj śmierci – pedzioł Scrooge – abo ta ciymnŏ izba, co my ś nij prawie wyszli, duchu, bydzie mi tŏwarziszyć do kōńca żywobyciŏ.
— Pewnie bardzo chciałabyś pójść na bal, prawda?	— Chciała byś pōjś na bŏl, pra?
— Alboż nie ma więzień? — przerwał mu Scrooge.	– A niy ma to heresztōw? – zapytoł Scrooge.
Gdy już wszyscy wyszli, z wyjątkiem dwóch praktykantów, spotkała ich ta sama grzeczność; potem wesołe głosy umilkły, chłopcy zaś pozostali, aby położyć się spać w łóżka, które znajdowały się pod stołami na zapleczu; położywszy się, długo jeszcze gawędzili, ożywieni i rozradowani.	Jak wszyjscy ôkrōm dwōch pōmagerōw wyszli, Fezziwigowie tyż pożegnali sie ze niymi i tak to ucieszne głosy ucichły, a chopcy poszli do swojich łōżek, co były pod tŏflōm na zadku sklepu.
Bob Cratchit oświadczył głosem spokojnym i pewnym, że uważa go za arcydzieło kucharskie pani Cratchit od czasu ich małżeństwa.	Bob Cratchit pedzioł, co podle niego to bōł nojwiynkszy sukces ôd Cratchitowyj ôd czasu jejich weselŏ.
Matka i starsza córka szyły.	Matka i cery sztrykowały.
Wszystkie panie chciały przyjrzeć się z bliska jej włosom i szatom, aby następnego dnia mieć podobne, jeśli tylko uda im się znaleźć równie wyszukane tkaniny i wystarczająco zręcznych rzemieślników.	Wszyske damy były zajynte rozwŏżaniym nad jeji frizurōm i ôblyczym, żeby mieć podobne na drugi dziyń, jeźli znojdōm sie take piykne sztŏfy i tacy talyntni robotnicy.
Kiedy miała dwanaście lat, czarownica zamknęła ją w wysokiej wieży znajdującej się w głębi lasu.	Jak jij było dwanŏście lŏt, to czarownica zawarła jã we wieży, co stoła w lesie i niy miała ani słodōw, ani dźwiyrzi, ale cołkym na gōrze było małe ôkynko.
